GENE	Log_Ratio_7440_1	Log_Ratio_7440_2	Log_Ratio_7440_3	Log_Ratio_7440_4	Log_Ratio_7440_5	Log_Ratio_7440_6	Log_Ratio_7440_7	Log_Ratio_7440_8	Log_Ratio_7440_9	Log_Ratio_7440_10	Log_Ratio_7440_11	Log_Ratio_7440_12	Log_Ratio_7441_1	Log_Ratio_7441_2	Log_Ratio_7441_3	Log_Ratio_7441_4	Log_Ratio_7441_5	Log_Ratio_7916_1	Log_Ratio_7916_2	Log_Ratio_7917_1	Log_Ratio_7917_2	Log_Ratio_7917_3	Log_Ratio_7917_4	Log_Ratio_7917_5	Log_Ratio_7917_6	Log_Ratio_7918_1	Log_Ratio_7918_2	Log_Ratio_7918_3	Log_Ratio_7918_4	Log_Ratio_7918_5	Log_Ratio_7918_6	Log_Ratio_7920_1	Log_Ratio_7920_2	Log_Ratio_7920_3	Log_Ratio_7920_4	Log_Ratio_7920_5	Log_Ratio_7920_6	Log_Ratio_7921_1	Log_Ratio_7921_2	Log_Ratio_7921_3	Log_Ratio_7921_4	Log_Ratio_7921_5	Log_Ratio_7921_6	Log_Ratio_7923_1	Log_Ratio_7923_2	Log_Ratio_7923_3	Log_Ratio_7923_4	Log_Ratio_7923_5	Log_Ratio_7923_6	Log_Ratio_7924_1	Log_Ratio_7925_1	Log_Ratio_7926_1	Log_Ratio_7926_2	Log_Ratio_7926_3	Log_Ratio_7926_4	Log_Ratio_7926_5	Log_Ratio_7926_6	Log_Ratio_7927_1	Log_Ratio_7927_2	Log_Ratio_7927_3	Log_Ratio_7927_4	Log_Ratio_7927_5	Log_Ratio_7927_6
GSU0342	-0.815746	-0.036465	-0.089954	0.005696	0.140860	0.327978	-2.815674	-2.964926	-3.326282	0.875024	0.685107	0.760294	-0.621013	-1.049479	-1.059814	-0.102347	-0.189889	-0.020354	-1.188663	0.805327	0.789845	-0.018118	-0.082668	1.005816	1.001038	0.547197	0.548179	-0.171017	0.000000	1.060161	0.632859	0.320895	0.496776	0.679126	0.097619	0.328980	0.453116	0.876460	0.898352	0.293746	0.378446	1.216878	1.325869	-1.667947	-1.668789	-1.504124	-1.847370	-1.585924	-1.341559	0.098177	-0.214870	-0.066205	-0.033812	0.176593	0.501105	0.392415	0.386424	-0.307517	-0.386924	-0.247391	-0.389370	-0.379193	-0.529997
GSU0343	-0.799203	-0.193721	-0.175449	0.332936	0.561477	0.538172	-2.715557	-3.036223	-3.254208	0.945840	0.998823	1.294615	-0.771420	-1.446253	-1.127591	0.835017	0.217544	0.559147	-1.476227	0.620414	0.762564	0.928113	0.070828	-0.716634	-0.509656	-0.104916	-0.538909	-0.865071	-1.179438	-0.318511	-0.260041	0.233361	0.264082	0.716484	0.000000	0.276533	0.057337	1.014649	1.008268	0.533342	0.553097	1.391595	1.265089	-1.310713	-1.237458	-1.306444	-1.431112	-1.401962	-0.962342	0.496340	-0.092929	0.165299	0.184963	0.538638	0.318222	0.553498	0.690589	-0.271904	-0.299151	-0.285015	-0.453170	-0.398439	-0.546638
GSU0344	-0.757616	0.000000	0.043156	0.824866	0.767666	0.903268	-2.906079	-3.092797	-3.524390	1.563908	1.357672	1.859370	-0.259766	-1.169526	-1.072969	0.840856	0.427675	0.783868	-1.277360	-0.335333	-0.363151	-0.907719	-0.574898	-0.533822	-0.733063	-0.365920	-0.448453	0.149790	0.058768	-0.211007	-0.272345	0.285520	0.177568	0.547773	-0.172223	0.332231	0.320638	0.820926	0.916882	0.361651	0.397477	1.268920	1.104199	-1.046515	-1.227877	-0.908823	-1.324653	-1.032866	-0.915694	0.653738	0.232173	0.115443	0.458651	0.164924	0.133440	0.289904	0.502250	-0.155888	-0.261143	-0.053454	-0.146941	-0.347886	-0.133371
GSU0345	-0.764047	-0.030201	-0.042661	0.437852	0.403455	0.617104	-3.044540	-3.217499	-3.503540	0.927116	0.976980	1.228169	-0.673584	-1.037938	-1.073323	0.427888	-0.147964	0.161854	-1.163823	0.150942	0.467562	-0.069351	0.031258	1.114100	0.653805	-0.204835	-0.109172	-0.687642	-0.439103	-0.159427	-0.072890	0.488081	0.487583	1.441571	0.460756	0.403832	0.417167	1.115652	1.292071	0.525528	0.793148	1.064722	0.978440	-1.081367	-1.075039	-0.960523	-1.183140	-0.981614	-0.843839	0.211484	-0.115089	0.000000	0.350696	0.637379	0.651601	0.745372	0.868463	-0.360402	-0.444664	-0.424223	-0.350033	-0.506849	-0.590684
GSU0346	-0.053572	0.350172	0.246987	0.545358	0.609648	0.593393	-2.458073	-2.595323	-2.667553	0.830501	0.682131	1.113615	0.000000	-0.990239	-1.067328	0.755572	0.134202	0.390228	-0.857345	-0.870708	-0.856036	-0.980409	-0.938132	-0.873185	-0.928207	-1.033890	-0.995900	-0.602360	-0.345109	-0.888500	-0.768545	1.084753	1.118450	1.494290	0.499141	0.707396	0.690174	1.295242	1.280208	0.678570	0.556855	1.548004	1.523669	-0.898942	-0.992773	-0.750894	-1.125655	-0.899286	-0.686939	0.465815	0.277317	0.526025	0.417780	1.059298	0.965372	1.414900	1.234614	-0.126666	-0.171040	-0.082311	-0.199819	-0.199184	-0.197395
GSU0347	-0.498493	0.137044	0.000000	0.461752	0.555475	0.694463	-3.061572	-3.267784	-3.795499	1.164286	1.100626	1.543670	-0.849825	-0.859197	-1.009625	0.540002	0.109462	-0.076146	-0.751528	-0.450230	-0.451251	-0.936660	-0.788562	-0.835154	-0.901598	0.305183	0.260120	-0.084446	-0.072519	0.176553	0.027104	0.417516	0.555272	1.317164	0.631970	0.451581	0.364308	0.962775	0.911363	0.362193	0.571343	1.500099	1.279512	-0.898066	-0.886146	-0.912466	-0.911237	-0.869115	-0.718992	0.246661	0.190848	0.174362	-0.074605	0.493082	0.577404	-0.321368	0.670024	-0.184520	-0.230044	-0.135373	-0.163524	-0.186444	-0.137147
GSU0348	-0.586721	0.038498	0.012988	0.490733	0.655392	0.810069	-2.634044	-2.821609	-2.971905	0.980311	1.414102	1.599861	-0.657013	-0.704688	-0.636228	0.588232	0.154567	0.475860	-0.977912	-0.976784	-0.862473	-0.525725	-0.853370	-0.623038	-0.718950	-0.598651	-0.700100	-0.495787	-0.548287	-0.444232	-0.518158	1.814334	1.030880	1.667396	0.620759	0.913757	0.780056	1.109149	1.052184	0.633189	0.442880	1.581100	1.506574	-0.826009	-0.801195	-0.824618	-0.880125	-0.806455	-0.697566	0.312548	0.144881	0.553699	0.211899	0.373739	0.721075	0.326590	0.942790	-0.062906	-0.048662	0.000000	-0.100090	-0.050075	-0.115316
GSU0349	-0.321722	0.172556	0.148346	0.526745	0.539104	0.598380	-2.974744	-3.188992	-3.486016	0.944842	1.059170	1.399306	-0.635187	-1.083287	-0.660113	0.469000	0.000000	-0.022776	-0.741059	-0.319496	-0.202073	0.339152	0.207272	-0.197382	-0.198441	-1.110736	-1.140108	-0.105176	-0.082740	-0.465462	-0.232668	0.765542	1.126848	1.521160	0.739039	0.560889	0.553518	1.113129	1.061112	0.610384	0.651437	1.247990	1.223516	-0.945766	-0.961151	-0.846040	-1.022057	-0.890082	-0.739445	0.472131	0.127662	0.448185	0.443838	0.807269	0.807258	0.507519	0.892998	-0.237557	-0.238303	-0.233624	-0.273911	-0.272596	-0.267465
GSU0350	0.000000	0.636949	0.573718	0.964018	0.884971	0.929777	-3.230041	-3.484368	-3.769031	1.538473	1.486376	1.798997	-0.355234	-0.695969	-0.384304	0.618229	0.121373	0.450381	-0.728742	-0.295684	-0.402648	-0.186872	-0.397807	-0.036498	-0.280314	-0.337542	-0.558920	-0.038644	-0.194314	-0.368671	-0.302838	0.558841	0.562430	1.538629	0.532843	0.466160	0.378189	0.729373	0.706983	0.467573	0.514363	1.004458	0.881197	-0.592034	-0.628524	-0.586944	-0.674274	-0.624548	-0.368449	0.504862	0.086045	0.136754	0.520074	0.432235	0.435596	0.725979	0.641902	-0.073588	-0.159019	-0.173539	-0.135169	-0.150000	-0.206205
GSU0351	-0.019044	0.536878	0.544229	0.801366	0.860993	0.875269	-2.782045	-2.987210	-3.147720	1.344940	1.246050	1.739950	-0.096016	-0.554409	-0.463974	0.595729	0.107698	0.239193	-0.403581	-0.665533	-0.690102	-0.541614	-0.356617	-0.657925	-0.911694	-0.557526	-0.327840	-0.624129	-0.312480	-1.060541	-0.548020	0.988343	1.032477	1.715473	0.800282	0.580994	0.558190	1.028472	1.129897	0.713180	0.786016	1.337371	1.348735	-0.568751	-0.557464	-0.536836	-0.643108	-0.595598	-0.396053	0.558343	0.090660	0.422551	0.587917	1.003388	0.833067	1.277443	1.139420	0.000000	-0.132194	-0.094857	-0.108411	-0.047717	-0.062316
